江南style
16, 402, 116580, 65535
Seq, Enabled, Servo time, Wait time, 1:Angle, 2:Angle, 3:Angle, 4:Angle, 5:Angle, 6:Angle, 7:Angle, 8:Angle, 9:Angle, 10:Angle, 11:Angle, 12:Angle, 13:Angle, 14:Angle, 15:Angle, 16:Angle, 1:LED, 2:LED, 3:LED, 4:LED, 5:LED, 6:LED, 7:LED, 8:LED, 9:LED, 10:LED, 11:LED, 12:LED, 13:LED, 14:LED, 15:LED, 16:LED, Head LED, MP3 folder, MP3 file, MP3 volume
82, 1, 220, 240, 42, 31, 14, 75, 22, 45, 92, 60, 54, 124, 90, 120, 124, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
83, 1, 220, 240, 14, 27, 14, 90, 30, 61, 92, 45, 43, 124, 90, 121, 124, 116, 71, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
84, 1, 220, 240, 45, 33, 31, 70, 47, 50, 61, 60, 75, 110, 128, 84, 122, 117, 65, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
85, 1, 220, 240, 33, 22, 16, 90, 54, 50, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
86, 1, 220, 240, 42, 31, 14, 75, 22, 45, 92, 60, 54, 124, 90, 120, 124, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
87, 1, 220, 240, 14, 27, 14, 90, 30, 61, 92, 45, 43, 124, 90, 121, 124, 116, 71, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
88, 1, 220, 240, 42, 31, 14, 75, 22, 45, 92, 60, 54, 124, 90, 120, 124, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
89, 1, 220, 240, 14, 27, 14, 90, 30, 61, 92, 45, 43, 124, 90, 121, 124, 116, 71, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
90, 1, 220, 220, 42, 31, 14, 75, 22, 45, 92, 60, 54, 124, 90, 120, 124, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
91, 1, 220, 240, 14, 27, 14, 90, 30, 61, 92, 45, 43, 124, 90, 121, 124, 116, 71, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
92, 1, 220, 240, 45, 33, 31, 70, 47, 50, 61, 60, 75, 110, 128, 84, 122, 117, 65, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
93, 1, 220, 240, 33, 22, 16, 90, 54, 50, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
94, 1, 220, 240, 45, 33, 31, 70, 47, 50, 61, 60, 75, 110, 128, 84, 122, 117, 65, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
95, 1, 220, 240, 33, 22, 16, 90, 54, 50, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
