?????style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,402,116580,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq, Enabled, Servo time, Wait time, 1:Angle, 2:Angle, 3:Angle, 4:Angle, 5:Angle, 6:Angle, 7:Angle, 8:Angle, 9:Angle, 10:Angle, 11:Angle, 12:Angle, 13:Angle, 14:Angle, 15:Angle, 16:Angle, 1:LED, 2:LED, 3:LED, 4:LED, 5:LED, 6:LED, 7:LED, 8:LED, 9:LED, 10:LED, 11:LED, 12:LED, 13:LED, 14:LED, 15:LED, 16:LED, Head LED, MP3 folder, MP3 file, MP3 volume
113,1,220,240,73,138,214,110,126,140,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
114,1,220,240,82,129,216,95,158,145,118,60,114,154,120,90,184,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
115,1,220,240,54,133,216,110,150,129,118,45,103,154,120,89,184,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
116,1,220,240,82,129,216,95,158,145,118,60,114,154,120,90,184,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
117,1,220,240,54,133,216,110,150,129,118,45,103,154,120,89,184,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
118,1,220,240,82,129,216,95,158,145,118,60,114,154,120,90,184,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
119,1,220,240,54,133,216,110,150,129,118,45,103,154,120,89,184,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
120,1,220,220,85,127,199,90,133,140,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
121,1,220,240,73,138,214,110,126,140,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
122,1,220,240,85,127,199,90,133,140,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
123,1,220,240,73,138,214,110,126,140,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
